,Player,Age,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,sal17,#OPA,#OPA/90,/90,Att,Att.1,Att.2,AvgDist,AvgLen,Born,CK,Cmp%,FK,GA,Launch%,Launch%.1,OG,PKA,PSxG+/-,PSxG/SoT,Rk,Stp,Stp%,Thr,Blocks,Crs,Dead,In,Live,Off,Out,Str,Sw,TB,TI,G-xG,Sh,Sh/90,SoT,SoT/90,np:G-xG,CS,CS%,D,GA90,L,PKm,PKsv,Save%,W,2CrdY,Fld,Fls,Int,Lost,PKcon,PKwon,Recov,TklW,Won,Won%,Dist,G/Sh,SoT%,npxG/Sh,+/-,+/-90,Compl,Mn/MP,On-Off,On-Off.1,PPM,Subs,onG,onGA,onxG,onxGA,unSub,xG+/-,xG+/-90,local,Pos_1,Pos_3,Pos_4,Pos_5,Comp_1,Comp_2,Comp_3,Comp_4
0,Patrick van Aanholt,26.0,28,25,5,1,5,0,0,7,0,0.21,0.04,0.25,3.1,3.1,2.1,5.2,0.13,0.09,0.21,2860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,56.0,276.0,3.0,897.0,3.0,5.0,2.0,2.0,3.0,235.0,1.9,33.0,1.36,11,0.45,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18,47.0,5.0,0.0,0.0,162.0,32.0,6.0,54.5,23.4,0.15,33.3,0.09,-7.0,-0.29,21.0,78.0,-0.07,-0.66,1.21,3,31.0,38.0,32.2,34.7,8,-2.5,-0.1,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Ignazio Abate,30.0,17,11,1,0,1,0,0,3,0,0.09,0.0,0.09,0.2,0.2,0.5,0.7,0.01,0.04,0.06,3835357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,119.0,0.0,653.0,4.0,0.0,0.0,2.0,0.0,112.0,0.8,4.0,0.34,2,0.17,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12,8.0,4.0,0.0,0.0,56.0,17.0,5.0,55.6,17.1,0.25,50.0,0.04,7.0,0.6,7.0,62.0,0.33,-0.24,1.71,6,17.0,10.0,13.8,11.4,15,2.5,0.21,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Aymen Abdennour,27.0,8,6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,4460325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,325.0,1.0,0.0,0.0,3.0,0.0,0.0,-0.1,2.0,0.36,1,0.18,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9,4.0,7.0,0.0,0.0,32.0,3.0,7.0,50.0,11.5,0.0,50.0,0.06,6.0,1.08,4.0,62.0,0.25,0.53,2.38,2,10.0,4.0,12.0,4.2,18,7.8,1.41,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Mehdi Abeid,24.0,19,14,0,1,0,0,0,2,0,0.0,0.08,0.08,1.0,1.0,0.3,1.3,0.07,0.02,0.1,430453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,17.0,1.0,587.0,1.0,0.0,0.0,5.0,0.0,3.0,-1.0,21.0,1.61,6,0.46,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,29,18.0,16.0,0.0,0.0,93.0,15.0,13.0,44.8,25.2,0.0,28.6,0.05,-8.0,-0.61,9.0,62.0,-0.21,0.06,1.58,5,17.0,25.0,13.3,20.4,1,-7.1,-0.54,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,David Abraham,31.0,27,27,0,2,0,0,0,3,0,0.0,0.08,0.08,0.4,0.4,0.7,1.1,0.01,0.03,0.04,1260742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,50.0,0.0,1267.0,4.0,0.0,0.0,27.0,0.0,6.0,-0.4,7.0,0.27,1,0.04,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,40.0,42.0,0.0,0.0,113.0,32.0,78.0,65.0,19.2,0.0,14.3,0.05,-1.0,-0.04,25.0,85.0,-0.16,0.09,1.41,0,30.0,31.0,30.2,29.3,1,1.0,0.04,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Tammy Abraham,19.0,31,15,5,1,5,0,0,0,0,0.26,0.05,0.31,6.8,6.8,1.6,8.4,0.35,0.08,0.44,2600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,28.0,0.0,286.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.8,42.0,2.19,13,0.68,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15,1.0,58.0,0.0,0.0,41.0,8.0,39.0,40.2,13.1,0.12,31.0,0.16,-16.0,-0.83,9.0,56.0,-0.2,-0.13,0.81,16,15.0,31.0,16.9,31.8,2,-14.8,-0.77,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Amir Abrashi,27.0,12,11,0,0,0,0,0,2,0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,0.02,0.05,0.07,561930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,315.0,0.0,0.0,0.0,2.0,0.0,1.0,-0.2,5.0,0.53,0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20,19.0,17.0,0.0,0.0,55.0,32.0,17.0,50.0,22.2,0.0,0.0,0.04,-3.0,-0.32,8.0,71.0,0.54,-0.09,1.0,1,8.0,11.0,7.5,10.0,3,-2.5,-0.26,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Francesco Acerbi,29.0,38,38,0,0,0,0,0,4,0,0.0,0.0,0.0,1.0,1.0,0.7,1.7,0.03,0.02,0.04,2501672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,118.0,0.0,1529.0,3.0,0.0,0.0,24.0,2.0,28.0,-1.0,15.0,0.39,2,0.05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31,88.0,40.0,1.0,0.0,260.0,32.0,103.0,72.0,18.0,0.0,13.3,0.07,-30.0,-0.79,38.0,90.0,,,1.13,0,29.0,59.0,46.3,48.9,0,-2.6,-0.07,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,Afriyie Acquah,25.0,22,9,1,0,1,0,0,4,2,0.09,0.0,0.09,0.4,0.4,0.6,1.0,0.04,0.06,0.1,833890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,8.0,0.0,468.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6,9.0,0.85,3,0.28,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,17,16.0,17.0,0.0,0.0,68.0,6.0,12.0,41.4,24.2,0.11,33.3,0.04,-4.0,-0.38,3.0,43.0,-0.82,-0.7,1.64,13,13.0,17.0,9.8,15.4,11,-5.6,-0.53,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,Charlie Adam,31.0,11,5,0,0,0,0,1,2,1,0.0,0.0,0.0,1.6,0.9,1.2,2.1,0.36,0.27,0.63,1820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,28.0,3.0,252.0,5.0,4.0,3.0,4.0,3.0,4.0,-1.6,9.0,1.97,2,0.44,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8,9.0,4.0,0.0,0.0,40.0,5.0,7.0,63.6,31.5,0.0,22.2,0.09,-5.0,-1.09,1.0,37.0,-0.26,0.15,0.91,6,2.0,7.0,5.4,8.0,21,-2.5,-0.56,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
