,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-038,2000,13.2,1,19,4,21.1,1.44,0.30,0.05,0.25,19.1,1,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-062,1987,15.0,0,15,0,0.0,1.00,0.00,0.00,,12.0,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-012,1999,2.6,0,3,2,66.7,1.17,0.78,0.00,0.00,20.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-248,2000,15.0,1,6,1,16.7,0.40,0.07,0.17,1.00,23.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29-301,1993,9.0,0,4,0,0.0,0.45,0.00,0.00,,23.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,31626657
6,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-246,2003,1.2,1,6,2,33.3,5.14,1.71,0.17,0.50,12.2,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,0e46fa2f
7,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,22-284,2000,13.0,3,36,12,33.3,2.77,0.92,0.08,0.25,18.5,0,0,0,3.5,3.5,0.10,-0.5,-0.5,Matches,c2a6033c
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-058,1997,11.6,3,35,13,37.1,3.03,1.12,0.09,0.23,12.2,0,0,0,6.3,6.3,0.18,-3.3,-3.3,Matches,f586779e
9,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34-292,1988,7.3,0,3,0,0.0,0.41,0.00,0.00,,22.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,b96b595c
