,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,a7e4760c
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,2184,78,63.9,24.3,25,,21,3,,8,1.21,31,38,-7,-0.29,-0.07,32.2,34.7,-2.5,-0.10,-0.66,Matches,5f09991f
3,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,4,139,35,4.1,1.5,1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43,Matches,c5942695
4,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,517,47,15.1,5.7,6,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,2.7,10.0,-7.3,-1.26,-0.34,Matches,c5942695
5,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,1057,62,30.9,11.7,11,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,13.8,11.4,+2.5,+0.21,-0.24,Matches,1c529186
6,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,499,62,14.6,5.5,6,82,4,2,3,18,2.38,10,4,+6,+1.08,+0.25,12.0,4.2,+7.8,+1.41,+0.53,Matches,2f798b41
7,Nura Abdullahi,ng NGA,DF,Roma,it Serie A,19,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,d24769d8
8,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,77,77,2.3,0.9,1,77,0,0,,1,0.00,0,3,-3,-3.51,-3.21,0.5,0.9,-0.4,-0.45,+0.04,Matches,bbe88396
9,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,1176,62,34.4,13.1,14,77,9,5,20,1,1.58,17,25,-8,-0.61,-0.21,13.3,20.4,-7.1,-0.54,+0.06,Matches,a4c3f7af
10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,2302,85,75.2,25.6,27,,25,0,,1,1.41,30,31,-1,-0.04,-0.16,30.2,29.3,+1.0,+0.04,+0.09,Matches,565bf0da
11,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,1726,56,50.5,19.2,15,,9,16,,2,0.81,15,31,-16,-0.83,-0.20,16.9,31.8,-14.8,-0.77,-0.13,Matches,f586779e
12,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,850,71,27.8,9.4,11,,8,1,,3,1.00,8,11,-3,-0.32,+0.54,7.5,10.0,-2.5,-0.26,-0.09,Matches,1c08a3c8
13,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.13,29,59,-30,-0.79,,46.3,48.9,-2.6,-0.07,,Matches,b96b595c
14,Karim Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,24cedcb1
