Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Barcelona,es La Liga,33,€ 4682115 (£ 3925993 $4771599),€ 243470000 (£ 204151634 $248123125),100%
2,Real Madrid,es La Liga,32,€ 3949904 (£ 3312027 $4025393),€ 205395000 (£ 172225426 $209320446),100%
3,Paris S-G,fr Ligue 1,35,€ 3895462 (£ 3266377 $3969910),€ 202564000 (£ 169851608 $206435344),100%
4,Manchester Utd,eng Premier League,35,€ 3810955 (£ 3195596 $3883356),€ 198169670 (£ 166171000 $201934520),100%
5,Arsenal,eng Premier League,45,€ 3629433 (£ 3043385 $3698385),€ 188730521 (£ 158256000 $192316043),100%
6,Bayern Munich,de Bundesliga,38,€ 3491942 (£ 2928023 $3558679),€ 181581000 (£ 152257190 $185051324),100%
7,Manchester City,eng Premier League,32,€ 3474446 (£ 2913423 $3540453),€ 180671167 (£ 151498000 $184103578),100%
8,Chelsea,eng Premier League,45,€ 2790189 (£ 2339654 $2843197),€ 145089806 (£ 121662000 $147846240),100%
9,Juventus,it Serie A,33,€ 2717212 (£ 2278405 $2769142),€ 141295000 (£ 118477041 $143995386),100%
10,Liverpool,eng Premier League,34,€ 2194158 (£ 1839865 $2235843),€ 114096241 (£ 95673000 $116263857),100%
11,Milan,it Serie A,42,€ 2035731 (£ 1706977 $2074637),€ 105858000 (£ 88762823 $107881122),100%
12,Everton,eng Premier League,48,€ 1959476 (£ 1643077 $1996702),€ 101892731 (£ 85440000 $103828499),100%
13,Atlético Madrid,es La Liga,36,€ 1895154 (£ 1589102 $1931373),€ 98548000 (£ 82633324 $100431417),100%
14,Tottenham,eng Premier League,34,€ 1841549 (£ 1544192 $1876535),€ 95760561 (£ 80298000 $97579832),100%
15,West Ham,eng Premier League,41,€ 1594665 (£ 1337173 $1624961),€ 82922601 (£ 69533000 $84497976),100%
16,Dortmund,de Bundesliga,33,€ 1593981 (£ 1336566 $1624444),€ 82887000 (£ 69501446 $84471113),100%
17,Southampton,eng Premier League,29,€ 1561182 (£ 1309096 $1590841),€ 81181461 (£ 68073000 $82723752),100%
18,Crystal Palace,eng Premier League,41,€ 1560448 (£ 1308481 $1590094),€ 81143294 (£ 68041000 $82684869),100%
19,Napoli,it Serie A,40,€ 1495019 (£ 1253586 $1523592),€ 77741000 (£ 65186483 $79226760),100%
20,Inter,it Serie A,34,€ 1488923 (£ 1248475 $1517379),€ 77424000 (£ 64920676 $78903702),100%
21,Leicester City,eng Premier League,34,€ 1470226 (£ 1232827 $1498157),€ 76451744 (£ 64107000 $77904185),100%
22,Roma,it Serie A,47,€ 1413231 (£ 1185006 $1440240),€ 73488000 (£ 61620307 $74892476),100%
23,West Brom,eng Premier League,33,€ 1354341 (£ 1135654 $1380071),€ 70425716 (£ 59054000 $71763674),100%
24,Sevilla,es La Liga,33,€ 1318865 (£ 1105880 $1344071),€ 68581000 (£ 57505743 $69891700),100%
25,Monaco,fr Ligue 1,38,€ 1314423 (£ 1102155 $1339544),€ 68350000 (£ 57312046 $69656287),100%
26,Valencia,es La Liga,30,€ 1168827 (£ 980071 $1191165),€ 60779000 (£ 50963701 $61940590),100%
27,Stoke City,eng Premier League,35,€ 1124956 (£ 943308 $1146328),€ 58497686 (£ 49052000 $59609032),100%
28,Lazio,it Serie A,44,€ 1122635 (£ 941339 $1144090),€ 58377000 (£ 48949604 $59492678),100%
29,Wolfsburg,de Bundesliga,33,€ 1119346 (£ 938581 $1140739),€ 58206000 (£ 48806218 $59318416),100%
30,Swansea City,eng Premier League,36,€ 1095623 (£ 918712 $1116438),€ 56972393 (£ 47773000 $58054764),100%
31,Leverkusen,de Bundesliga,27,€ 1093019 (£ 916506 $1113909),€ 56837000 (£ 47658301 $57923248),100%
32,Watford,eng Premier League,37,€ 1065878 (£ 893769 $1086127),€ 55425638 (£ 46476000 $56478625),100%
33,Marseille,fr Ligue 1,29,€ 1005423 (£ 843056 $1024638),€ 52282000 (£ 43838893 $53281198),100%
34,Bournemouth,eng Premier League,35,€ 987558 (£ 828096 $1006320),€ 51353032 (£ 43061000 $52328645),100%
35,Newcastle Utd,eng Premier League,37,€ 968248 (£ 811904 $986643),€ 50348890 (£ 42219000 $51305427),100%
36,Brighton,eng Premier League,39,€ 915271 (£ 767481 $932659),€ 47594066 (£ 39909000 $48498265),100%
